firestorm,EOS5cMGmNturu4C1R4T8dB2LVx5SMNoiL9uhYdNKJVxmdLuAnEqo1
ironman,EOS59vUXs8FXvZshSCMBgzseDpu7jcnzWmyv29XXyH3gqUtZ84t41
aquaman,EOS64Vgd3PVJfoTvB19K8fShiy9e1ZGo1iN33PgLrJfUDeTXSmSuG
phoenix,EOS62ZdqFkz4yWhdF3vE2AzMLDSRgEqSfLm5NESkabGY6V4HQ8PkB
batman,EOS5wEcKNZ8YdVnCSCnGmwpWLwb2cCqP5FSyWoW1vBASr78KKu8G3
wolverine,EOS8Z7ZJMjxMrTNNXPRrECc7XjnX5F4ZhZgJ15QBGtbgS8Q9T7Sck
robin,EOS7jtFqvghBxvs6EvaQyWWf9vxdmWtTetACiy8PXqxtxXGrHfGVr
batgirl,EOS8jHUTAibNNsdWwYRtyf4Sx1SX2LzSrB4ADi4GJ6ey1LsYXm13M
superman,EOS8kJXy2zWbyrmKA8DXg7ubQMjpuDUQKjdpc39SmbeKqjkCi8SXa
hulk,EOS8Zj999MDCzMo1gDuyieFCMMsHKyfPxUB4towsmbjXXQShsFA5a
spiderman,EOS8dzxm4HAk8uRJawAWzAJZ6nj4uBCx3bbjBFxzzskHpQhSRELe7
hellboy,EOS75pHe7xQGQZEjXGd8yCDomKV3whFYr5idz9JmAVHST7t67H3gg
daredevil,EOS7ggmHeJpysDVBHahjHr3Rq46eGxJx9wtbTsmPEvJcGSfMic1uf
wakanda,EOS6p2RxAzMD8QuVEr75bnvJk3XDrZVYUkyEiuTSj3Qhyp2vWmfFD
magneto,EOS5D5P25LN3pkMsvRJ1a8vYh9CFd2u4MHLSmfcYnugvTEcN38vPm
rogue,EOS711cqTKFYXXk5nGPgySUy6U34CNBhCcCwaD2PwZ14GJXu1Anwt
xavier,EOS6okFXLDor3y83hmPAbePAgpur5ATyKVuS7fxMSgSm2xs1SZTwT
storm,EOS5vuHfVeXptjfPhsUvvduJmoEG4PMPnjmSzVhMrZkeLpY8VruTC
cyclops,EOS7HCLs7UkXJhjvzm9nu7RzMbPU99HhDqZdbt3a86CGV2uDqAQW5
beast,EOS5tzdKNjLTTXVx9tZFboCXgJCEqEyZuWtVSWU4rb8rhzKb98LJY
juggernaut,EOS8LAhzKRo5HiaR83tP8AaYHogQAKq8L8GKNm9eSi9nj6ze6cEzC
gargamel,EOS8XtxmodhhtNizaJiRtc9941KFHxiHbG5sKTby8jW6cxFiXZDLe
doom,EOS8NnpE3hVrBdE6JhaMQdxSYAdZqR9qRyg5o3XrEDhCeB6mwBtYr
venom,EOS5Xi3QA8rtbrzLFgma7azYigMxFoGYij2j7ZmjwXjmnHrtAbkGk
elektra,EOS7zkph7uUwZqXrTPkHBsYVd2AkVABhF694fWzdArhoR36M1BW7b
luthor,EOS8RpRD6b8NbzmFzxdzWfFGCfcLECd7eMQb5veRptFLvfp1uQ4mi
joker,EOS5a37GWFxp74YGGDr6oFRoFjGrtvdYk8vbyid2JQ9EBBSSLzbNz
megatron,EOS81LJmHkomMihCyrZ3W5btVqNkiLg7zvYEdKF516UNwBCN2eAN4
loki,EOS8kPE11KY4jBHNEPUnhDfdGwmpZT68YjtjtdRcNnKJjN2b7R1KQ
shredder,EOS89KvANZE4LSUYDibnPd4JKubsYLFKXP3whqnPDdYNjj1wdSfhg
noheart,EOS6eFh26ntf5QAtTZ8iHXHQ7jwyr7aBPdXx5hLK3uKQTnzQBYQaa
skeletor,EOS5DYrhVScCWEGiJJur2iYAhqxnUxWwgzYHjoBVoTRHomPUCUMRZ
jigsaw,EOS5AJLcPVhq9zgHvTKgdWd76R943cuUUybpYt7JdrT5BV4T9je12
murderface,EOS5ng4SNPrxo79mnesQT5fX7kLiJ47MACs75YvVFG51Nkx1MZ866
riddler,EOS67vheXu9HAuqGK5YvYVXmcY83Ac5972GpZmE4WS9FmJAWSjvZG
ursula,EOS6hxModmy1ohpVhQ578xcvCZW78Xb8RK6P5iCwMzNzUuXCA86Y1
hook,EOS8b7CU2eJG9Z4aVkx6guoJJouKcSqt4LLVJR32rpZZw1GeyhJvd
mystique,EOS85oHiiwVpmGKL5LBxLYm8xgFSCxMFBGDdJgYjt7yFkEUtwbopf
tom,EOS5DLvsuc8fmbgn2vQJDhd7ghgRyWuAPmjDaJ7SRagKV5rqDS1ph
rita,EOS6abC4L9KHzeHMvNuoEBseJnqbFxPjdt9628vfr4gK465tnQPBJ
vader,EOS5QT5g1t4PqpmTo4hzoj5rtc7j2CRjCJfbq3Sb2f4TdzgwXjxXC
stealth,EOS8RszJfhBhg61PC1Bg7ZK64L9HNMhxi7fqnBoDbBtUaUYSvSJac
